iter	Passed	Remaining
0	102	102592
1	219	109562
2	483	160779
3	592	147515
4	682	135884
5	748	123965
6	911	129302
7	992	123119
8	1096	120728
9	1164	115253
10	1260	113310
11	1355	111570
12	1446	109842
13	1526	107521
14	1691	111074
15	1758	108145
16	1815	105007
17	1887	102968
18	1926	99448
19	1990	97510
20	2072	96609
21	2293	101967
22	2635	111944
23	2914	118518
24	3085	120331
25	3246	121607
26	3343	120490
27	3391	117735
28	3578	119823
29	3699	119605
30	3816	119289
31	3928	118849
32	4064	119093
33	4179	118758
34	4450	122707
35	4610	123458
36	4822	125516
37	4949	125294
38	5024	123814
39	5142	123418
40	5263	123117
41	5353	122113
42	5479	121949
43	5632	122374
44	5821	123540
45	5930	122984
46	6075	123182
47	6169	122366
48	6330	122864
49	6459	122729
50	6633	123442
51	6804	124051
52	6954	124265
53	7034	123238
54	7103	122052
55	7168	120833
56	7248	119922
57	7317	118839
58	7458	118963
59	7548	118255
60	7600	117004
61	7732	116977
62	7808	116130
63	7897	115494
64	7993	114978
65	8132	115083
66	8199	114181
67	8298	113734
68	8413	113517
69	8472	112568
70	8569	112129
71	8624	111166
72	8660	109980
73	8688	108727
74	8710	107431
75	8730	106150
76	8749	104884
77	8780	103790
78	8812	102736
79	8839	101659
80	8867	100602
81	8896	99591
82	8947	98853
83	9049	98679
84	9121	98189
85	9203	97817
86	9297	97572
87	9497	98431
88	9572	97978
89	9716	98243
90	9859	98482
91	9906	97776
92	9942	96964
93	9983	96223
94	10031	95566
95	10065	94780
96	10085	93892
97	10113	93089
98	10152	92400
99	10190	91718
100	10225	91012
101	10248	90231
102	10275	89487
103	10313	88855
104	10367	88372
105	10442	88069
106	10472	87405
107	10550	87136
108	10601	86661
109	10669	86324
110	10793	86445
111	10907	86484
112	11016	86472
113	11141	86587
114	11237	86478
115	11391	86813
116	11473	86587
117	11564	86442
118	11621	86035
119	11658	85492
120	11702	85009
121	11794	84880
122	11857	84544
123	11911	84151
124	11968	83777
125	12046	83559
126	12162	83604
127	12400	84477
128	12593	85032
129	12745	85293
130	12897	85559
131	12986	85396
132	13121	85538
133	13207	85355
134	13296	85197
135	13392	85079
136	13507	85087
137	13643	85221
138	13755	85204
139	13812	84850
140	13930	84864
141	14026	84749
142	14147	84786
143	14364	85390
144	14535	85708
145	14643	85657
146	14716	85394
147	14806	85240
148	14947	85368
149	15055	85315
150	15093	84861
151	15147	84506
152	15216	84237
153	15406	84634
154	15471	84344
155	15571	84246
156	15730	84464
157	15791	84156
158	15845	83813
159	15952	83752
160	16068	83738
161	16156	83575
162	16275	83574
163	16436	83783
164	16543	83720
165	16649	83650
166	16710	83352
167	16791	83156
168	16852	82864
169	16892	82476
170	16919	82025
171	16959	81644
172	16984	81193
173	17025	80822
174	17086	80549
175	17185	80460
176	17283	80362
177	17413	80416
178	17547	80484
179	17673	80511
180	17789	80495
181	17931	80593
182	18080	80720
183	18198	80704
184	18272	80497
185	18343	80277
186	18430	80127
187	18510	79949
188	18570	79687
189	18620	79383
190	18704	79222
191	18788	79070
192	18947	79224
193	19029	79059
194	19108	78882
195	19270	79048
196	19381	79000
197	19469	78859
198	19518	78563
199	19561	78247
200	19614	77970
201	19660	77669
202	19716	77408
203	19751	77071
204	19806	76811
205	19842	76482
206	19914	76289
207	19968	76033
208	20043	75857
209	20139	75764
210	20248	75717
211	20317	75520
212	20432	75493
213	20532	75412
214	20630	75323
215	20780	75427
216	20840	75200
217	20966	75210
218	21107	75273
219	21170	75059
220	21234	74850
221	21400	74999
222	21555	75106
223	21650	75002
224	21750	74920
225	22094	75667
226	22238	75729
227	22529	76285
228	22628	76185
229	22754	76179
230	22882	76176
231	22989	76102
232	23066	75931
233	23164	75830
234	23344	75995
235	23449	75912
236	23542	75794
237	23650	75720
238	23719	75524
239	23806	75388
240	23904	75284
241	23986	75131
242	24085	75031
243	24254	75149
244	24383	75141
245	24525	75170
246	24600	74995
247	24711	74932
248	24784	74753
249	24993	74981
250	25162	75087
251	25261	74981
252	25401	75000
253	25462	74783
254	25525	74574
255	25567	74306
256	25628	74092
257	25689	73883
258	25781	73760
259	25832	73522
260	25890	73306
261	25971	73155
262	26022	72922
263	26096	72753
264	26192	72647
265	26283	72527
266	26389	72446
267	26480	72328
268	26551	72154
269	26637	72018
270	26696	71814
271	26745	71584
272	26789	71339
273	26844	71128
274	26902	70924
275	26961	70725
276	27015	70512
277	27157	70530
278	27335	70641
279	27434	70545
280	27522	70421
281	27604	70284
282	27689	70152
283	27808	70109
284	27906	70011
285	27968	69823
286	28121	69862
287	28177	69661
288	28235	69464
289	28366	69449
290	28441	69294
291	28484	69064
292	28517	68811
293	28542	68540
294	28580	68302
295	28611	68049
296	28693	67918
297	28735	67691
298	28778	67470
299	28821	67250
300	28899	67112
301	28983	66987
302	29069	66869
303	29176	66798
304	29287	66736
305	29372	66615
306	29478	66541
307	29526	66338
308	29574	66136
309	29600	65885
310	29635	65655
311	29661	65408
312	29682	65150
313	29702	64892
314	29730	64652
315	29777	64454
316	29841	64295
317	29872	64065
318	29940	63916
319	30087	63935
320	30144	63763
321	30239	63672
322	30323	63557
323	30421	63472
324	30519	63385
325	30606	63278
326	30734	63255
327	30884	63274
328	30962	63148
329	31028	62997
330	31092	62843
331	31169	62714
332	31220	62535
333	31309	62432
334	31386	62304
335	31411	62075
336	31441	61856
337	31473	61644
338	31501	61423
339	31553	61250
340	31631	61129
341	31738	61063
342	31926	61153
343	32043	61105
344	32129	61000
345	32222	60907
346	32416	61001
347	32523	60934
348	32620	60847
349	32746	60815
350	32796	60640
351	32881	60531
352	32937	60369
353	33005	60230
354	33104	60147
355	33173	60010
